X1,X2,X3,X4
0.4946,-0.5454,-0.08966,-0.10583
-0.1677,-0.651,-1.484,-0.10724
0.652,-0.3433,-0.0828,-0.10516
1.565,0.969,0.651,-0.03375
-0.2676,-0.6187,-1.312,-0.1074
-0.2676,-0.563,-1.029,-0.10736
1.623,1.032,1.14,-0.02522
0.777,-0.2341,-0.231,-0.1043
-0.5127,-0.4749,0.3613,-0.108
0.542,-0.4033,-0.9434,-0.1054
-0.5063,-0.448,-0.575,-0.10785
-0.5093,-0.542,-1.047,-0.108
0.2288,-0.6724,-0.1792,-0.10645
-2.018,1.958,1.146,0.1848
-1.821,1.437,1.725,0.04007
-0.61,-0.4539,-1.505,-0.10785
-1.079,0.1553,0.8643,-0.1007
0.3042,-0.559,-0.1688,-0.1062
-0.97,-0.003046,0.5576,-0.1046
-1.496,0.7466,1.697,-0.0651
1.505,0.9556,0.6094,-0.03586
-0.259,-0.5073,0.3682,-0.10736
0.04688,-0.643,0.5303,-0.10675
-1.509,0.818,0.7026,-0.058
-0.5913,-0.3953,-0.6025,-0.10785
0.09216,-0.5537,0.2443,-0.1066
-1.224,0.2308,1.849,-0.0983
0.3684,-0.5005,-0.971,-0.10614
-0.6494,-0.3293,-0.41,-0.1076
-0.3276,-0.6655,-1.374,-0.10736
-0.6504,-0.4448,-1.377,-0.1081
1.908,1.628,0.3545,0.0933
-0.03757,-0.647,-1.814,-0.1069
-1.126,0.1763,0.1514,-0.0999
0.8345,-0.0886,0.3545,-0.1025
-1.296,0.3992,1.002,-0.0907
0.1942,-0.519,0.4302,-0.10626
-2.066,1.944,0.3027,0.1799
-1.408,0.4963,1.573,-0.0852
0.1818,-0.6094,-1.122,-0.1064
0.7466,-0.2368,0.06525,-0.1043
0.1552,-0.6147,-0.513,-0.10657
-0.144,-0.731,-2.215,-0.1072
-0.3372,-0.575,-0.582,-0.1076
-1.565,0.807,1.071,-0.05923
-0.774,-0.2408,0.4404,-0.1074
-0.504,-0.4678,-0.2964,-0.1078
1.078,0.0893,2.346,-0.0983
0.3347,-0.578,-1.312,-0.10614
-1.861,1.457,0.6265,0.04425
0.3145,-0.564,-1.253,-0.1062
-0.4248,-0.4814,-0.9365,-0.1076
-0.729,-0.368,-0.6646,-0.1081
0.6143,-0.349,0.675,-0.10516
1.052,0.0731,1.594,-0.0987
0.9473,-0.0758,-0.003584,-0.1021
-0.8984,-0.1526,-0.3206,-0.1066
-0.346,-0.6206,-0.678,-0.1075
0.322,-0.586,-1.277,-0.10626
0.9937,-0.03842,0.8984,-0.1013
-0.5234,-0.373,-0.08624,-0.1076
-0.2172,-0.6074,-2.035,-0.10724
-1.177,0.1755,1.787,-0.10016
-1.2705,0.3655,2.09,-0.0925
0.8237,-0.1833,-0.2206,-0.1037
1.391,0.625,0.644,-0.0704
-0.0986,-0.5977,-0.73,-0.10706
1.023,0.10077,0.8574,-0.0981
0.3535,-0.5703,-0.372,-0.1062
-0.696,-0.3757,1.181,-0.10785
0.3533,-0.557,-0.916,-0.106
1.58,0.88,0.4026,-0.04483
-0.06088,-0.711,-2.316,-0.10706
1.607,1.127,0.4717,-0.01115
-2.756,4.188,0.985,1.788
0.8335,-0.1799,1.484,-0.1036
0.06726,-0.598,-1.298,-0.10657
-0.3352,-0.555,-0.6265,-0.1075
0.07214,-0.468,-0.513,-0.1066
