seed,backend,true_edges,pred_edges,shd,f1,precision,recall,Tp,Fp,Fn,mean_r2,elapsed_s
0,sklearn,4,4,2,0.75,0.75,0.75,3,1,1,0.4576814430586397,19.7
0,xgboost,4,3,1,0.8571428571428571,1.0,0.75,3,0,1,0.48316123995790683,66.0
1,sklearn,3,3,0,1.0,1.0,1.0,3,0,0,0.45080484014444916,31.5
1,xgboost,3,3,0,1.0,1.0,1.0,3,0,0,0.41683153695780056,60.4
2,sklearn,6,3,3,0.6666666666666666,1.0,0.5,3,0,3,0.32183244005271067,7.6
2,xgboost,6,3,3,0.6666666666666666,1.0,0.5,3,0,3,0.4572650660443016,37.4
3,sklearn,6,3,3,0.6666666666666666,1.0,0.5,3,0,3,0.457715556545143,20.0
3,xgboost,6,5,3,0.7272727272727272,0.8,0.6666666666666666,4,1,2,0.34194950821668685,46.6
4,sklearn,5,3,4,0.5,0.6666666666666666,0.4,2,1,3,0.8133790964517736,60.2
4,xgboost,5,4,3,0.6666666666666665,0.75,0.6,3,1,2,0.46772217197047833,39.8
5,sklearn,5,4,1,0.888888888888889,1.0,0.8,4,0,1,0.5444608129403662,53.5
5,xgboost,5,2,3,0.5714285714285715,1.0,0.4,2,0,3,0.4310012281664683,42.9
6,sklearn,6,6,2,0.8333333333333334,0.8333333333333334,0.8333333333333334,5,1,1,0.5703804008497039,14.4
6,xgboost,6,5,1,0.9090909090909091,1.0,0.8333333333333334,5,0,1,0.5926514022563639,58.9
7,sklearn,5,3,2,0.7499999999999999,1.0,0.6,3,0,2,0.5623503308894277,38.9
7,xgboost,5,4,1,0.888888888888889,1.0,0.8,4,0,1,0.39446845495212707,54.2
8,sklearn,2,2,0,1.0,1.0,1.0,2,0,0,0.37469809394439246,17.9
8,xgboost,2,3,1,0.8,0.6666666666666666,1.0,2,1,0,0.058664665059597866,26.8
9,sklearn,7,4,5,0.5454545454545454,0.75,0.42857142857142855,3,1,4,0.5890211977526078,50.7
9,xgboost,7,5,6,0.5,0.6,0.42857142857142855,3,2,4,0.623519701210946,41.7
10,sklearn,3,3,0,1.0,1.0,1.0,3,0,0,0.5612470560662424,13.8
10,xgboost,3,1,2,0.5,1.0,0.3333333333333333,1,0,2,0.25156729660392796,49.2
11,sklearn,4,3,1,0.8571428571428571,1.0,0.75,3,0,1,0.4346710859983423,32.1
11,xgboost,4,3,1,0.8571428571428571,1.0,0.75,3,0,1,0.3025543340775773,39.0
12,sklearn,7,5,2,0.8333333333333333,1.0,0.7142857142857143,5,0,2,0.764972485644101,35.1
12,xgboost,7,6,3,0.7692307692307692,0.8333333333333334,0.7142857142857143,5,1,2,0.43166818313889427,39.0
13,sklearn,8,5,5,0.6153846153846154,0.8,0.5,4,1,4,0.5509661527486476,38.9
13,xgboost,8,3,5,0.5454545454545454,1.0,0.375,3,0,5,0.44150176638816796,45.6
14,sklearn,4,3,1,0.8571428571428571,1.0,0.75,3,0,1,0.7883727954628567,57.3
14,xgboost,4,2,2,0.6666666666666666,1.0,0.5,2,0,2,0.27717211906755,16.9
